"TIMESTAMP","RECORD","DayOfYear","Minute","Year","Month","Anonymous1","Hour","MinHour","DNI_SHP1_Avg","DNI_SHP1_Max","DNI_SHP1_Min","DNI_SHP1_Std","TeDNI_SHP1_Avg","LW_SGR4_Avg","LW_SGR4_Max","LW_SGR4_Min","LW_SGR4_Std","TeLW_SGR4_Avg","GHIT_SMP22_Avg","GHIT_SMP22_Max","GHIT_SMP22_Min","GHIT_SMP22_Std","TeGHIT_SMP22_Avg","GHIP_SMP22_Avg","GHIP_SMP22_Max","GHIP_SMP22_Min","GHIP_SMP22_Std","TeGHIP_SMP22_Avg","GHIP_SMP11_Avg","GHIP_SMP11_Max","GHIP_SMP11_Min","GHIP_SMP11_Std","TeGHIP_SMP11_Avg","GHIP_SPN1_Avg","GHIP_SPN1_Max","GHIP_SPN1_Min","GHIP_SPN1_Std","GHIP_SI02pt100_Avg","GHIP_SI02pt100_Max","GHIP_SI02pt100_Min","GHIP_SI02pt100_Std","TeGHIP_SI02pt100_Avg","DfHIT_SMP22_Avg","DfHIT_SMP22_Max","DfHIT_SMP22_Min","DfHIT_SMP22_Std","TeDfHIT_SMP22_Avg","DfHIRP_SMP11_Avg","DfHIRP_SMP11_Max","DfHIRP_SMP11_Min","DfHIRP_SMP11_Std","TeDfHIRP_SMP11_Avg","DfHIP_SPN1_Avg","DfHIP_SPN1_Max","DfHIP_SPN1_Min","DfHIP_SPN1_Std","TGIP_SMP11_Avg","TGIP_SMP11_Max","TGIP_SMP11_Min","TGIP_SMP11_Std","TeTGIP_SMP11_Avg","TGIP_SMP6_Avg","TGIP_SMP6_Max","TGIP_SMP6_Min","TGIP_SMP6_Std","TeTGIP_SMP6_Avg","TGHIP_SI02pt100_Avg","TGHIP_SI02pt100_Max","TGHIP_SI02pt100_Min","TGHIP_SI02pt100_Std","TeTGHIP_SI02pt100_Avg","TGHIP_SI02pt100_dirty_Avg","TGHIP_SI02pt100_dirty_Max","TGHIP_SI02pt100_dirty_Min","TGHIP_SI02pt100_dirty_Std","TeTGHIP_SI02pt100_dirty_Avg","UV_Avg","UV_Max","UV_Min","UV_Std","Par_Avg","Par_Max","Par_Min","Par_Std","TempAr_Avg","Umid","Pres","wind_direction_Avg","wind_direction_Std","wind_speed_Avg","wind_speed_Std","wind_speed_Max","Pluv_mm_Tot","SPN1_Sunshine"
"TS","RN","","","","","","","","W/m-2","W/m-2","W/m-2","W/m-2","degC","W/m-2","W/m-2","W/m-2","W/m-2","degC","W/m-2","W/m-2","W/m-2","W/m-2","degC","W/m-2","W/m-2","W/m-2","W/m-2","degC","W/m-2","W/m-2","W/m-2","W/m-2","degC","W/m^-2","W/m^-2","W/m^-2","W/m^-2","deg_C","deg_C","deg_C","deg_C","deg_C","W/m-2","W/m-2","W/m-2","W/m-2","degC","W/m-2","W/m-2","W/m-2","W/m-2","degC","W/m^-2","W/m^-2","W/m^-2","W/m^-2","W/m-2","W/m-2","W/m-2","W/m-2","degC","W/m-2","W/m-2","W/m-2","W/m-2","degC","W/m^-2","W/m^-2","W/m^-2","W/m^-2","deg_C","W/m^-2","W/m^-2","W/m^-2","W/m^-2","deg_C","W/m^-2","W/m^-2","W/m^-2","W/m^-2","uMol/m^2.s","uMol/m^2.s","uMol/m^2.s","uMol/m^2.s","deg_C","%","hPa","degrees","degrees","m/s","m/s","m/s","mm",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Avg","Max","Min","Std","Avg","Avg","Max","Min","Std","Avg","Avg","Max","Min","Std","Avg","Avg","Max","Min","Std","Avg","Avg","Max","Min","Std","Avg","Avg","Max","Min","Std","Avg","Max","Min","Std","Avg","Avg","Max","Min","Std","Avg","Avg","Max","Min","Std","Avg","Avg","Max","Min","Std","Avg","Max","Min","Std","Avg","Avg","Max","Min","Std","Avg","Avg","Max","Min","Std","Avg","Avg","Max","Min","Std","Avg","Avg","Max","Min","Std","Avg","Max","Min","Std","Avg","Smp","Smp","Avg","Std","Avg","Std","Max","Tot","Smp"
"2017-11-30 17:31:00",0,334,0,2017,11,5,17,30,93.1,105.7,80.5,10.29,26.6,-69.1,-68.8,-69.4,0.245,27.8,652.4,665.9,639,10.98,29,663,677.3,649.1,11.52,28.5,661.2,675.7,647.3,11.6,28.47,665.2,675,655.4,7.987,633.8,646.3,620.8,10.42,0,565.3,566.8,563.6,1.31,27.8,661.2,675.7,647.3,11.6,28.47,519.3,521.4,518.3,1.485,602,614.5,590.1,9.97,26.5,592.6,603.9,581.6,9.11,26.1,558.1,568.3,547.4,8.52,0,560,570.5,549.2,8.71,0,39.57,40.17,38.98,0.486,1392,1419,1364,22.54,23.19801,77.66,1034,99,28.08,2.387,0.485,3.07,0,1
"2017-11-30 17:32:00",1,334,0,2017,11,5,17,30,49.18,68.7,34.2,9.03,26.6,-68.24,-67.7,-68.8,0.309,27.8,605.3,627.4,576.2,14.5,29,614.5,637.1,586.2,14.35,28.5,610.2,634.9,580.1,15.36,28.49,623.4,645.8,598.7,12.93,585.6,608.2,555.4,14.89,0,559.1,565.1,544.2,6.648,27.8,610.2,634.9,580.1,15.36,28.49,528,532.5,523.7,2.768,558.6,579.2,534.2,12.45,26.59,553.4,570.8,526.1,13.39,26.13,517.9,536.7,493.5,11.9,0,520.3,538.7,496.6,11.67,0,37.29,38.45,36.31,0.571,1290,1338,1231,29.69,23.24622,77.69,1034,67.5,17.23,2.313,0.788,3.87,0,1
"2017-11-30 17:31:00",0,334,0,2017,11,5,17,30,93.1,105.7,80.5,10.29,26.6,-69.1,-68.8,-69.4,0.245,27.8,652.4,665.9,639,10.98,29,663,677.3,649.1,11.52,28.5,661.2,675.7,647.3,11.6,28.47,665.2,675,655.4,7.987,633.8,646.3,620.8,10.42,0,565.3,566.8,563.6,1.31,27.8,661.2,675.7,647.3,11.6,28.47,519.3,521.4,518.3,1.485,602,614.5,590.1,9.97,26.5,592.6,603.9,581.6,9.11,26.1,558.1,568.3,547.4,8.52,0,560,570.5,549.2,8.71,0,39.57,40.17,38.98,0.486,1392,1419,1364,22.54,23.19801,77.66,1034,99,28.08,2.387,0.485,3.07,0,1
"2017-11-30 17:32:00",1,334,0,2017,11,5,17,30,49.18,68.7,34.2,9.03,26.6,-68.24,-67.7,-68.8,0.309,27.8,605.3,627.4,576.2,14.5,29,614.5,637.1,586.2,14.35,28.5,610.2,634.9,580.1,15.36,28.49,623.4,645.8,598.7,12.93,585.6,608.2,555.4,14.89,0,559.1,565.1,544.2,6.648,27.8,610.2,634.9,580.1,15.36,28.49,528,532.5,523.7,2.768,558.6,579.2,534.2,12.45,26.59,553.4,570.8,526.1,13.39,26.13,517.9,536.7,493.5,11.9,0,520.3,538.7,496.6,11.67,0,37.29,38.45,36.31,0.571,1290,1338,1231,29.69,23.24622,77.69,1034,67.5,17.23,2.313,0.788,3.87,0,1
"2017-11-30 18:51:00",0,334,0,2017,11,5,18,50,-0.533,0.1,-1,0.382,25.21,-86.1,-85.7,-86.2,0.15,26.13,200,208,194.4,4.412,27.96,207.1,215.2,201.6,4.394,27.53,200.1,207.9,194.5,4.377,27.37,225.8,229.5,223,1.449,189.9,197.8,184.1,4.406,0,200.9,208.1,195.7,4.072,26.36,200.1,207.9,194.5,4.377,27.37,211.3,216.9,206.2,2.771,174.1,180.4,169.6,3.508,25.29,188.6,194.9,183.6,3.648,24.8,159.7,165.7,155.2,3.369,0,159.6,165.5,155.1,3.352,0,18.44,18.69,18.28,0.136,459.7,475.6,447.9,8.94,23.26507,72,1033,82.3,40.56,1.686,0.874,3.11,0,1
"2017-11-30 18:52:00",1,334,0,2017,11,5,18,50,-0.45,0.9,-2.1,1.172,25.13,-87.1,-86.3,-87.6,0.366,25.99,216.7,223.2,209.4,4.194,27.82,224,230.4,216.6,4.234,27.37,216.5,222.9,209.3,4.136,27.25,229.2,230.1,226.5,1.165,206.1,212,199,3.921,0,216.8,224,209.2,4.724,26.26,216.5,222.9,209.3,4.136,27.25,214.9,217,212,1.303,187.7,193.2,181.6,3.576,25.2,202.9,208.9,196.1,3.812,24.73,172.6,177.7,166.7,3.367,0,172.4,177.6,166.5,3.368,0,18.97,19.17,18.74,0.121,492.4,504.3,478.3,7.733,23.2265,71.22,1033,69.25,21.24,3.108,0.922,4.83,0,1
"2017-11-30 18:53:00",2,334,0,2017,11,5,18,50,-1.842,-0.7,-2.2,0.425,24.96,-87.3,-87,-87.7,0.23,25.89,231.8,239.1,224.4,4.625,27.64,238.9,246.2,231.6,4.676,27.22,231.5,238.9,224.2,4.687,27.11,235.8,241.6,229,4.16,219.9,226.6,213.2,4.27,0,232.5,239.3,225.1,4.627,26.13,231.5,238.9,224.2,4.687,27.11,212.1,213.7,210.7,1.028,200.8,207.4,194.3,4.172,25.08,216.9,223.7,210.1,4.318,24.64,184.6,190.4,178.7,3.696,0,184.5,190.3,178.6,3.696,0,19.44,19.69,19.22,0.147,520.1,533.6,506.7,8.52,23.02502,71.79,1033,95.2,84.5,2.688,1.026,3.69,0,1
"2017-11-30 18:54:00",3,334,0,2017,11,5,18,50,12.25,48.3,0.1,14.43,24.83,-87.2,-87,-87.3,0.111,25.8,253.3,280.4,240.4,11.55,27.48,260.6,287.8,247.7,11.6,27.08,253.5,279.1,240.5,11.75,26.97,252,277.5,240.9,10.33,239.7,264.8,228,10.58,0,245.1,248.1,240.3,2.442,26.03,253.5,279.1,240.5,11.75,26.97,214,222.5,210.7,3.488,219.9,241.2,208.8,9.64,25,237.6,259.1,225.1,10.84,24.57,201.2,220.4,191.7,8.32,0,201.4,221.2,191.6,8.61,0,20.24,21.18,19.74,0.455,562.8,619.5,536.5,24.2,22.83284,72.47,1033,74.33,39.6,1.922,0.734,3.9,0,1
"2017-11-30 18:55:00",4,334,0,2017,11,5,18,50,58.75,146.8,23,40.18,24.74,-87,-86.6,-87.4,0.269,25.72,294.4,353.6,271.7,27.59,27.36,300.4,353.8,278.7,25.67,26.97,294.3,353.3,270,29.13,26.86,299.7,378.3,267.6,36.13,283.2,362.6,256.3,34.19,0,255.5,260.3,248.9,3.777,25.95,294.3,353.3,270,29.13,26.86,230.3,245,219.2,9.54,252.2,297.3,233.5,22.24,24.89,273.1,326.6,250.9,24.28,24.49,234.6,296.5,214.1,26.52,0,233.1,286.3,214.3,23.7,0,21.68,23.62,20.81,0.968,650.8,792,599.8,63.34,22.77469,73.93,1033,140.2,119.9,2.336,1.385,6.1,0,0
"2017-11-30 18:56:00",5,334,0,2017,11,5,18,50,118.5,329.8,74.9,68.21,24.7,-87,-86.3,-87.3,0.266,25.7,340.4,472.9,313.9,42.81,27.29,346.6,473.3,320.7,41.11,26.89,342.4,483.4,312.6,47.88,26.79,346.3,485.3,317.5,44.64,326.4,469.8,297.3,45.54,0,263.2,264.2,261,0.942,25.9,342.4,483.4,312.6,47.88,26.79,241.4,243.9,239.1,1.538,290.6,402,267.8,37.39,24.8,317,429.5,285.7,44.43,24.4,267,379.1,244.5,35.74,0,266.4,373.9,245.7,34.69,0,23.09,26.98,22.17,1.338,740.6,1015,686.4,88.1,22.77265,74.57,1033,108.1,66.01,1.114,0.558,2.18,0,0
"2017-11-30 18:57:00",6,334,0,2017,11,5,18,50,333.5,445.3,201.7,64.76,24.7,-86.7,-86.1,-87.4,0.41,25.65,478,545.5,399.4,38.97,27.21,485.1,554.1,407.7,39.37,26.81,468.4,524,403.2,34.98,26.7,459.3,512.5,387,32.68,454.3,513.1,373.9,35.06,0,261.3,264,256.6,2.673,25.8,468.4,524,403.2,34.98,26.7,240.1,242.4,237.9,1.458,394.4,440,342.5,29.32,24.8,420.3,482,344.9,32.79,24.4,363.1,404,304.5,25.89,0,363.7,406.9,306.7,26.84,0,26.48,28.1,24.75,0.886,1003,1129,844,73.55,22.7803,74.31,1033,68.58,85.5,2.528,1.063,4.65,0,0
"2017-11-30 18:58:00",7,334,0,2017,11,5,18,50,418.2,618.8,215,150.9,24.63,-85.7,-84.2,-86.7,0.735,25.6,532.3,660.8,400.5,96.1,27.18,540,670.6,405.9,95.3,26.78,536.8,678.9,394.2,98.9,26.68,524.4,642.3,391.6,93.7,510.7,630.3,370.6,96.3,0,260.7,262.7,256.7,1.881,25.75,536.8,678.9,394.2,98.9,26.68,248.9,257.8,242.4,3.829,448.3,559.6,336.5,77.72,24.8,480.1,593,357.6,83.9,24.4,410.5,500.1,303.8,73.32,0,408.7,501.2,308.2,71.55,0,28.05,31.52,24.31,2.483,1100,1334,838,184.9,22.83233,73.98,1033,74.75,84,2.937,1.194,4.71,0,0
